1,0.5,3
1,1,3.5
0.5,1,4
1,0.5,6
1,1,6.5
1,0.5,7
0.5,1,11
1,0.5,11
1,1,11.5
0.5,1,12
1,0.5,12
1,1,12.5
0.5,1,13
1,0.5,13
0.5,1,14
1,0.5,14
1,1,30.5
1,1,31.5
0.5,2,5
1,1.5,7
1,2,7.5
0.5,2,14
0.5,2,15
1,2.5,5
1,3,5.5
0.5,3,15
0.5,3,19
0.5,3,20
1,3,22.5
0.5,3,23
0.5,3,24
0.5,3,25
1,4,18.5
0.5,4,19
1,3.5,19
1,4,19.5
0.5,4,20
1,3.5,20
1,4,20.5
1,4,21.5
1,3.5,22
1,4,22.5
1,3.5,24
1,4,24.5
0.5,4,25
1,3.5,25
0.5,4,26
1,4,26.5
0.5,4,27
1,3.5,27
1,5,14.5
0.5,5,15
0.5,5,19
1,4.5,19
1,5,19.5
1,4.5,21
1,5,21.5
1,5.5,7
1,5.5,8
0.5,6,14
1,5.5,14
1,6,14.5
1,6,17.5
1,5.5,19
1,5.5,20
0.5,6,40
1,7,0.5
0.5,7,1
1,6.5,1
1,7,6.5
1,6.5,7
0.5,7,12
0.5,7,17
1,6.5,17
1,7,17.5
0.5,7,18
1,6.5,18
1,6.5,20
1,7,20.5
0.5,7,40
0.5,8,6
1,8,6.5
1,7.5,9
1,7.5,17
1,7.5,18
0.5,8,19
1,7.5,19
1,8,19.5
0.5,8,20
1,7.5,22
1,8.5,8
0.5,9,9
1,8.5,9
0.5,9,11
0.5,9,12
1,9,12.5
0.5,9,13
1,8.5,14
1,8.5,17
1,9,17.5
1,8.5,18
1,9,18.5
1,8.5,19
1,8.5,22
1,9,22.5
1,8.5,23
1,10,4.5
0.5,10,10
0.5,10,11
1,9.5,11
1,9.5,12
0.5,10,20
1,10,20.5
1,9.5,22
1,9.5,23
0.5,11,11
1,10.5,11
1,11,11.5
0.5,11,12
1,10.5,12
1,11,12.5
1,11,13.5
0.5,11,18
1,11,18.5
1,11,19.5
1,10.5,20
1,11,20.5
1,10.5,22
1,11,22.5
0.5,11,23
1,10.5,23
1,11,29.5
0.5,12,11
1,11.5,11
1,12,11.5
0.5,12,12
1,11.5,12
1,12,12.5
0.5,12,13
1,11.5,13
1,12,13.5
0.5,12,14
1,12,14.5
1,12,15.5
1,11.5,16
0.5,12,18
1,12,18.5
0.5,12,19
1,11.5,19
1,12,19.5
0.5,12,20
1,11.5,20
1,12,20.5
0.5,12,21
1,11.5,21
1,12,21.5
1,11.5,22
1,12,22.5
0.5,12,23
0.5,13,11
1,12.5,11
1,13,11.5
0.5,13,12
1,12.5,12
1,13,12.5
0.5,13,14
1,12.5,14
1,13,14.5
1,12.5,15
1,13,15.5
1,12.5,16
0.5,13,17
0.5,13,18
1,12.5,20
1,13,20.5
1,12.5,21
0.5,14,11
1,13.5,13
1,13.5,14
1,13.5,15
1,14,15.5
1,13.5,17
1,14,17.5
1,13.5,18
0.5,14,22
1,15,10.5
0.5,15,11
1,14.5,11
0.5,15,13
0.5,15,14
0.5,15,15
1,14.5,15
1,15,15.5
0.5,15,17
1,15,17.5
0.5,15,18
1,14.5,18
